Manufacturer,Disc Model,Max Weight,Diameter,Height,Rim Depth,Inside Rim Diameter,Rim Thickness,Rim Configuration,Flexibility,Class,Max Weight Vint (gr),Last Year Production,Certification Number,Approved Date
STM Disc Golf,Badia,174.3,21,1.7,1.2,17.4,1.8,34.5,12.16,,,,23-65,13-Mar-23
Northstar Discs,Pacific OS,174.3,21,1.7,1.2,17.1,2,28,9.89,,,,23-66,13-Mar-23
Northstar Discs,Paladin OS,174.3,21,2,1.3,17.4,1.8,32,9.32,,,,23-67,13-Mar-23
Orbital Discs,Viperwolf,175.1,21.1,1.5,1.1,16.1,2.5,26,7.16,,,,23-74,13-Mar-23
Orbital Discs,Ignition,174.3,21,1.6,1.2,17,2,29,11.59,,,,23-71,13-Mar-23
Orbital Discs,Euphoria,174.3,21,1.9,1.2,17.4,1.8,27,12.05,,,,23-69,13-Mar-23
Orbital Discs,Bliss,180.1,21.7,2.3,1.3,18.9,1.4,43.25,8.64,,,,23-68,13-Mar-23
Orbital Discs,Solar Eclipse,180.9,21.8,1.6,1.2,19.3,1.3,48.75,2.39,,,,23-73,13-Mar-23
Orbital Discs,Hyrrokin,176,21.2,1.8,1.3,18.9,1.2,60.5,8.75,,,,23-70,13-Mar-23
Orbital Discs,Kore,176,21.2,2.1,1.5,19.3,1,62.25,4.66,,,,23-72,13-Mar-23
Trash Panda Disc Golf,Dune,178.5,21.5,1.8,1.4,19.1,1.2,49.5,8.18,,,,23-75,13-Mar-23
Alfa Discs,Timberline Apollo (variant),182.6,22,1.7,1.3,19.4,1.3,49.75,5.11,,,,23-63,6-Mar-23
Discraft,Zone OS,176,21.2,1.8,1.4,18.9,1.2,64.25,12.05,,,,23-64,6-Mar-23
"Shenzhen Reanson Products Co., Ltd",X 090,200,27.6,3.1,2,26,0.8,86.25,7.84,Super Class & Vintage Class,184.9,,23-60,27-Feb-23
Newb SimHouse Custom Discs,NX-01,176,21.2,1.5,1.1,16.2,2.5,27.5,7.95,,,,23-61,27-Feb-23
Kastaplast,Stig,175.1,21.1,1.9,1.2,18,1.6,39,7.5,,,,23-62,27-Feb-23
Gateway Disc Sports,Blade V2 (variant),176,21.2,1.7,1.2,17.2,2,34,11.93,,,,23-55,23-Feb-23
Gateway Disc Sports,Speed Demon GT (variant),176.8,21.3,2,1.1,16.9,2.2,26,6.36,,,,23-56,23-Feb-23
Gateway Disc Sports,Warlock GE (variant),176,21.2,1.9,1.5,19.2,1,56.25,6.93,,,,23-57,23-Feb-23
Goliath Discs,Ambush,174.3,21,1.5,1.2,16.5,2.2,36.25,8.98,,,,23-59,23-Feb-23
Infinite Discs,Raze,176,21.2,1.9,1.5,19,1.1,66.25,11.48,,,,23-58,23-Feb-23
Gateway Disc Sports,G-ONE,175.1,21.1,1.7,1.2,16.4,2.3,28,11.02,,,,23-49,20-Feb-23
Gateway Disc Sports,Houdini,176,21.2,1.9,1.5,18.8,1.2,55.75,7.95,,,,23-50,20-Feb-23
Gateway Disc Sports,Amphibian,175.1,21.1,1.9,1.2,17.1,2,29.5,8.18,,,,23-48,20-Feb-23
Exel Discs,Tuohi,176,21.2,1.8,1.3,18.2,1.5,34.5,7.61,,,,23-52,20-Feb-23
